year,GDP Growth (%),Inflation (%),Unemployment Rate (%),Trade (% of GDP),Government Debt (% of GDP),country
2007,6.06987060733128,3.64127299102652,9.28,25.2926113757805,,Brazil
2006,3.96198870899485,4.18356812896909,9.692,26.0416998879446,,Brazil
2005,3.20213206216255,6.86953720898964,10.551,27.0867952052479,,Brazil
2004,5.75996463685998,6.59718509985963,10.072,29.6782524803495,,Brazil
2003,1.14082899877101,14.7149197228147,11.168,28.1403847215489,,Brazil
2002,3.05346185683619,8.45016437708331,10.641,27.6183574077173,,Brazil
2001,1.3898964044581,6.84035902487523,10.649,26.936285024943,,Brazil
2000,4.38794944364869,7.04414105947265,10.889,22.6397613589755,,Brazil
2024,1.42742769080466,4.72225588452932,2.678,74.5889079825143,49.5702123720928,Mexico
2023,3.35354140652768,5.52796087314389,2.765,73.5788616365245,45.055380246523,Mexico
2022,3.70975709163623,7.8962761916855,3.256,88.7984855867186,43.9694401566719,Mexico
2021,6.0484834621255,5.68920847683753,4.019,83.0692976357895,44.8609558065004,Mexico
2020,-8.35403458167995,3.39683415570006,4.44,76.8545557056016,45.8373464150183,Mexico
2019,-0.392690505066824,3.63596142127046,3.477,77.4619722571128,41.3273940627237,Mexico
2018,1.97208209405635,4.89935015356551,3.275,80.2126616568975,,Mexico
2017,1.87172853327193,6.04145724018986,3.419,76.9521260407254,,Mexico
2016,1.77249323845399,2.8217078474766,3.853,75.6903034088551,,Mexico
2015,2.70232342550646,2.72064064964023,4.311,70.412974676264,,Mexico
2014,2.50376350288664,4.01861608078679,4.819,64.0984090351215,,Mexico
2013,0.852101559410627,3.80639069747204,4.921,62.6916747735807,,Mexico
2012,3.55321075993527,4.11150981070289,4.892,64.2579318900113,,Mexico
2011,3.44404505794418,3.40737824605742,5.175,62.1623872764498,,Mexico
2010,4.9713345832195,4.15672722680174,5.303,59.2733845293851,,Mexico
2009,-6.29525055780502,5.29735584228856,5.356,54.5917421313503,,Mexico
2008,0.943331863036903,5.12498274575896,3.874,56.3652818862573,,Mexico
2007,2.07786393438754,3.96684905458235,3.628,55.2585243944498,,Mexico
2006,4.80501352746852,3.62946762439132,3.566,54.4821160886169,,Mexico
2005,2.11324712586392,3.98805714597437,3.558,52.5626446517886,,Mexico
2004,3.56544100946846,4.68840884843143,3.937,52.0406200335632,,Mexico
2003,1.18554486709559,4.54690012118718,3.455,48.700416880838,,Mexico
2002,-0.236588001922641,5.03072733151295,3.003,45.209829259652,,Mexico
2001,-0.450845253215945,6.36773806235037,2.627,44.7401090123173,,Mexico
2000,5.02928399378261,9.49156149435403,2.646,49.9104091872497,18.1918633340197,Mexico
2024,3.3276230893799,58.5064507300342,8.8,54.5988061195916,26.6192344930079,Turkey
2023,5.04512369812289,53.8594087593315,9.388,65.6832084738667,33.2548360254558,Turkey
2022,5.44122511322401,72.3088359891207,10.465,79.8982722314341,35.3300843740665,Turkey
2021,11.811094450607,19.5964926913324,11.969,69.6088976086437,41.6375124693568,Turkey
2020,1.80306247087255,12.2789574462574,13.148,60.389853117297,41.0396523893444,Turkey
2019,1.30162365464503,15.1768215720022,13.73,62.5784589326239,33.4600744570718,Turkey
2018,3.46815306092219,16.3324638988929,10.956,62.8251323851165,29.3999927208091,Turkey
2017,7.82585730002594,11.1443110840764,10.919,56.1356585158689,29.5734179673603,Turkey
2016,3.32366508200445,7.7751341532833,10.899,48.870183807987,30.075201418508,Turkey
2015,5.80557386628684,7.67085364845885,10.304,51.8749252596832,29.145145266046,Turkey
2014,4.60079447270559,8.85457271364316,9.901,54.30677404128,31.1206735016751,Turkey
2013,8.48825689298511,7.49309030547693,9.713,53.0683530043043,31.7836465280795,Turkey
2012,4.80762696633448,8.89156996512163,9.21,53.3277612968607,37.6997174684634,Turkey
2011,10.9799625273598,6.471879671151,9.789,53.651583897618,39.9693425323809,Turkey
2010,8.54219848467686,8.56644420552976,11.879,46.9433366709891,45.1797411840038,Turkey
2009,-4.88269401706633,6.25097663090626,14.026,47.0391385732199,48.4871401208098,Turkey
2008,0.920118221365883,10.4441283764885,10.965,50.7612500066681,41.0318813015611,Turkey
2007,5.10818513903604,8.75618090972632,10.285,48.027468179713,,Turkey
2006,7.06762607623939,9.59724212288446,10.227,48.9456766641314,,Turkey
2005,9.11157745861635,8.17916036802008,10.636,46.3088308846211,,Turkey
2004,9.92540551918624,8.59826168115262,10.838,48.9934575435266,,Turkey
2003,5.79909321038525,21.6024384490573,10.542,46.3681553387846,,Turkey
2002,6.43550883793114,44.964120947985,10.358,48.1026101234402,,Turkey
2001,-5.45940838563062,54.4001887619074,8.381,49.9447830679013,,Turkey
2000,6.98528697817062,54.9153705812683,6.495,42.3746746988077,,Turkey
2024,5.03034469419038,2.18151273615189,3.301,42.572647301834,,Indonesia
2023,5.04902331835997,3.66938654859761,3.308,41.3362868707652,,Indonesia
2022,5.30719722664799,4.20946463714784,3.462,45.4646701959453,,Indonesia
2021,3.70288562827751,1.56007882983334,3.827,40.2047582749671,,Indonesia
2020,-2.06551182934165,1.91983527270793,4.255,32.9721754002427,,Indonesia
2019,5.01928768046282,3.03058460941661,3.59,37.6277775357108,,Indonesia
2018,5.17429153955024,3.19834755924996,4.387,43.0743089552002,,Indonesia
2017,5.06978590134916,3.80879857691949,3.783,39.3554970704606,,Indonesia
